pricing_id,product_id,branch_id,wholesale_price,quantity,suggested_price,applied_price,ai_reasoning,suggested_at,suggested_by
213,54,6,14.0,65,29.11,26.0,Low turnover item. Reduce margin to 85% to stimulate sales.,2026-01-10 09:17:00,17
214,54,2,14.0,86,28.17,26.0,Low turnover item. Reduce margin to 85% to stimulate sales.,2026-02-09 09:23:00,5
215,54,5,14.0,28,28.29,26.0,Market average in Cairo for this category is aligned. Suggested margin ~95%.,2026-03-11 09:24:00,14
216,54,6,14.0,83,28.1,26.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-04-10 09:39:00,17
217,55,1,35.0,184,67.03,65.0,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-01-10 09:34:00,2
218,55,4,35.0,196,68.23,65.0,Low turnover item. Reduce margin to 85% to stimulate sales.,2026-02-09 09:11:00,11
219,55,5,35.0,146,63.37,65.0,Competitor pricing at Carrefour Egypt is slightly higher. Recommend matching.,2026-03-11 09:12:00,14
220,55,4,35.0,82,68.29,65.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-04-10 09:41:00,11
221,56,6,9.0,136,17.36,17.0,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-01-10 09:42:00,17
222,56,4,9.0,167,18.17,17.0,Low turnover item. Reduce margin to 85% to stimulate sales.,2026-02-09 09:06:00,11
223,56,4,9.0,87,16.63,17.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-03-11 09:31:00,11
224,56,4,9.0,112,18.37,17.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-04-10 09:00:00,11
225,57,2,5.0,105,10.35,9.5,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-01-10 09:22:00,5
226,57,5,5.0,48,9.18,9.5,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-02-09 09:51:00,14
227,57,6,5.0,36,9.46,9.5,Product near expiry in some branches. Recommend 70% margin to clear stock faster.,2026-03-11 09:17:00,17
228,57,4,5.0,91,9.59,9.5,Market average in Cairo for this category is aligned. Suggested margin ~95%.,2026-04-10 09:58:00,11
229,58,3,12.0,24,23.82,22.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-01-10 09:12:00,8
230,58,3,12.0,98,22.13,22.0,Product near expiry in some branches. Recommend 70% margin to clear stock faster.,2026-02-09 09:30:00,8
231,58,1,12.0,81,23.82,22.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-03-11 09:10:00,2
232,58,3,12.0,88,23.09,22.0,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-04-10 09:10:00,8
233,59,1,80.0,87,150.95,145.0,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-01-10 09:20:00,2
234,59,1,80.0,186,161.76,145.0,Competitor pricing at Carrefour Egypt is slightly higher. Recommend matching.,2026-02-09 09:04:00,2
235,59,6,80.0,187,154.91,145.0,Strong brand loyalty (Juhayna/Ariel/Nescafe). Market supports full 95-100% margin.,2026-03-11 09:11:00,17
236,59,6,80.0,100,159.61,145.0,"Imported product, high acquisition cost. Minimum 90% margin to cover logistics.",2026-04-10 09:24:00,17
237,60,6,60.0,37,123.35,110.0,High demand product (fast mover). Slight premium of 5% above standard margin recommended.,2026-01-10 09:06:00,17
238,60,2,60.0,65,118.11,110.0,Seasonal demand increase observed in data. Suggest 100% margin this period.,2026-02-09 09:53:00,5
239,60,3,60.0,75,120.96,110.0,High demand product (fast mover). Slight premium of 5% above standard margin recommended.,2026-03-11 09:22:00,8
240,60,6,60.0,120,125.82,110.0,Competitor pricing at Carrefour Egypt is slightly higher. Recommend matching.,2026-04-10 09:41:00,17
